,CC_As,Nombres_As,Apellidos_As,Correo_As,Genero_As,Telefono_As,Fecha_Naci_As,Edad_As,Estado_As,Estado_Gratui_As,Estado_Civil_As,Id_Us
14,2401952576,Nydia Asunción,Sánchez Lloret,nydia.sánchez@hotmail.com,F,936566274,22/5/2006,16,Inactivo,Perdida gratuidad temporal,Casado/a,a69bbc4e-74f4-11ed-8c78-0242ac1c000c
15,1077861199,Rogelio José,Prats Castellanos,rogelio.prats@hotmail.com,M,907129213,6/1/2006,16,Activo,Perdida gratuidad temporal,Casado/a,a69bbd16-74f4-11ed-8c78-0242ac1c000c
16,381474118,Loida Anabel,Amores Moll,loida.amores@hotmail.com,F,928761374,13/8/1990,32,Inactivo,Sin gratuidad,Viudo/a,a69bbdd4-74f4-11ed-8c78-0242ac1c000c
17,2313828667,Matías Pascual,Araujo Menendez,matías.araujo@hotmail.com,M,979205021,11/12/2000,21,Activo,Perdida gratuidad temporal,Casado/a,a69bbe9c-74f4-11ed-8c78-0242ac1c000c
18,1541003735,Julieta Maricruz,Estrada Soriano,julieta.estrada@hotmail.com,F,909979284,29/1/2004,18,Inactivo,Sin gratuidad,Divorciado,a69bbf5a-74f4-11ed-8c78-0242ac1c000c
19,2273290400,Edu Omar,Prieto Bárcena,edu.prieto@hotmail.com,M,900949276,4/5/2001,21,Inactivo,Sin gratuidad,Divorciado,a69bc022-74f4-11ed-8c78-0242ac1c000c
20,888969435,Carla Vilma,Torrent Ramos,carla.torrent@hotmail.com,F,994374684,30/3/1990,32,Activo,Sin gratuidad,Viudo/a,a69bc0d6-74f4-11ed-8c78-0242ac1c000c
21,1864072627,Noemí Juana,Bernal Arnal,noemí.bernal@hotmail.com,F,948800710,27/7/1995,27,Activo,Gratuidad,Casado/a,a69bc19e-74f4-11ed-8c78-0242ac1c000c
22,1471304968,Fortunata Encarnita,Ponce Estevez,fortunata.ponce@hotmail.com,F,990626793,20/9/2006,16,Inactivo,Gratuidad,Casado/a,a69bc252-74f4-11ed-8c78-0242ac1c000c
23,288099631,José Mari Glauco,Iñiguez Abascal,josé mari.iñiguez@hotmail.com,M,999422768,3/12/1988,34,Inactivo,Gratuidad,Viudo/a,a69bc310-74f4-11ed-8c78-0242ac1c000c
24,692761306,Onofre Godofredo,Sala Cabanillas,onofre.sala@hotmail.com,M,990393712,24/7/1988,34,Inactivo,Gratuidad,Divorciado,a69bc3ce-74f4-11ed-8c78-0242ac1c000c
25,1801326030,Luis Ángel Federico,Juliá Fernandez,luis ángel.juliá@hotmail.com,M,958906533,18/9/2001,21,Inactivo,Gratuidad,Soltero/a,a69bc496-74f4-11ed-8c78-0242ac1c000c
26,1839199889,Áurea Ainoa,Flor Ayala,áurea.flor@hotmail.com,F,936223587,24/3/1983,39,Inactivo,Perdida gratuidad temporal,Divorciado,a69bc568-74f4-11ed-8c78-0242ac1c000c
27,1727341716,Jaime Espiridión,Rojas Lobato,jaime.rojas@hotmail.com,M,977272155,26/6/2002,20,Inactivo,Sin gratuidad,Viudo/a,a69bc630-74f4-11ed-8c78-0242ac1c000c
28,468978914,Eliseo Saturnino,Boix Gordillo,eliseo.boix@hotmail.com,M,942304391,9/3/2001,21,Inactivo,Perdida gratuidad temporal,Soltero/a,a69bc6f8-74f4-11ed-8c78-0242ac1c000c
29,228573348,Vanesa Zoraida,Enríquez Campoy,vanesa.enríquez@hotmail.com,F,903475628,7/5/2003,19,Inactivo,Sin gratuidad,Divorciado,a69bc7b6-74f4-11ed-8c78-0242ac1c000c
30,1794304811,Martín Chuy,Abellán Mur,martín.abellán@hotmail.com,M,995952280,5/10/1983,39,Inactivo,Gratuidad,Viudo/a,a69bc914-74f4-11ed-8c78-0242ac1c000c
31,631000669,Florencio Carmelo,Millán Cabrero,florencio.millán@hotmail.com,M,988022397,25/1/1998,24,Inactivo,Sin gratuidad,Casado/a,a69c11a8-74f4-11ed-8c78-0242ac1c000c
32,1121218881,Maricruz Eligia,Romeu Gomez,maricruz.romeu@hotmail.com,F,984014065,5/8/1984,38,Activo,Sin gratuidad,Viudo/a,a69c1478-74f4-11ed-8c78-0242ac1c000c
33,679555258,Anabel Odalis,Agustín Parra,anabel.agustín@hotmail.com,F,931690568,6/10/1996,26,Activo,Sin gratuidad,Soltero/a,a69c1590-74f4-11ed-8c78-0242ac1c000c
34,1752486298,Prudencio Mauricio,Asenjo Arrieta,prudencio.asenjo@hotmail.com,M,901121409,17/1/1994,28,Activo,Gratuidad,Divorciado,a69c1676-74f4-11ed-8c78-0242ac1c000c
35,1570444985,Édgar Federico,Gracia Pascual,édgar.gracia@hotmail.com,M,935859040,16/9/1997,25,Inactivo,Gratuidad,Viudo/a,a69c2314-74f4-11ed-8c78-0242ac1c000c
36,1496406270,Trini Mireia,Buendía Perea,trini.buendía@hotmail.com,F,999953057,2/2/1987,35,Activo,Perdida gratuidad temporal,Viudo/a,a69c2440-74f4-11ed-8c78-0242ac1c000c
37,1013763951,Renata Javiera,Pedrosa Busquets,renata.pedrosa@hotmail.com,F,969769662,18/5/1988,34,Inactivo,Gratuidad,Union Libre,a69c2512-74f4-11ed-8c78-0242ac1c000c
38,443224628,Selena Tere,Torralba Salinas,selena.torralba@hotmail.com,F,926352342,19/6/1989,33,Activo,Perdida gratuidad temporal,Divorciado,a69c25e4-74f4-11ed-8c78-0242ac1c000c
39,257430415,Omar Teófilo,Casals Garriga,omar.casals@hotmail.com,M,911846585,29/1/1994,28,Inactivo,Sin gratuidad,Divorciado,a69c26b6-74f4-11ed-8c78-0242ac1c000c
40,2319271962,Desiderio Tiburcio,Tolosa Valenciano,desiderio.tolosa@hotmail.com,M,924815821,24/11/1993,29,Activo,Perdida gratuidad temporal,Soltero/a,a69c277e-74f4-11ed-8c78-0242ac1c000c
41,1545376920,Delfina Candela,Arroyo Sobrino,delfina.arroyo@hotmail.com,F,910808027,14/6/1984,38,Inactivo,Gratuidad,Casado/a,a69c2846-74f4-11ed-8c78-0242ac1c000c
42,810636897,Abigaíl Ale,Infante Téllez,abigaíl.infante@hotmail.com,F,932272243,23/5/2004,18,Inactivo,Sin gratuidad,Viudo/a,a69c2904-74f4-11ed-8c78-0242ac1c000c
43,2130546445,Silvio Heliodoro,Valero Llopis,silvio.valero@hotmail.com,M,972922880,8/9/2002,20,Inactivo,Sin gratuidad,Casado/a,a69c29cc-74f4-11ed-8c78-0242ac1c000c
44,590440983,Griselda Andrea,Heras Cervera,griselda.heras@hotmail.com,F,981621989,18/3/1990,32,Activo,Gratuidad,Union Libre,a69c2a94-74f4-11ed-8c78-0242ac1c000c
45,299683491,Natividad Luna,Jáuregui Rodriguez,natividad.jáuregui@hotmail.com,F,954750893,14/3/1983,39,Inactivo,Sin gratuidad,Divorciado,a69c2b52-74f4-11ed-8c78-0242ac1c000c
46,2255552638,Fortunata Amarilis,García Rosell,fortunata.garcía@hotmail.com,F,940798475,13/9/1986,36,Inactivo,Gratuidad,Casado/a,a69c2c06-74f4-11ed-8c78-0242ac1c000c
47,256943930,Pía Eufemia,Cañete Vera,pía.cañete@hotmail.com,F,931158911,22/12/1995,26,Inactivo,Gratuidad,Divorciado,a69c2cce-74f4-11ed-8c78-0242ac1c000c
48,1822748330,Brígida Leyre,Mendizábal Menéndez,brígida.mendizábal@hotmail.com,F,909516546,24/5/2000,22,Activo,Sin gratuidad,Casado/a,a69c2d8c-74f4-11ed-8c78-0242ac1c000c
49,1401097109,Gracia Adela,Ferrán Marqués,gracia.ferrán@hotmail.com,F,947079931,3/10/2006,16,Activo,Sin gratuidad,Viudo/a,a69c2e4a-74f4-11ed-8c78-0242ac1c000c
50,2078223255,Fermín Paco,Bravo Suárez,fermín.bravo@hotmail.com,M,957504731,26/11/1997,25,Inactivo,Perdida gratuidad temporal,Divorciado,a69c2efe-74f4-11ed-8c78-0242ac1c000c
51,566902920,Ágata Nuria,Aragonés Comas,ágata.aragonés@hotmail.com,F,941016865,26/3/1982,40,Inactivo,Perdida gratuidad temporal,Casado/a,a69c3002-74f4-11ed-8c78-0242ac1c000c
52,153847991,Paz Maite,Rivero Seguí,paz.rivero@hotmail.com,F,944523633,23/6/1991,31,Inactivo,Sin gratuidad,Soltero/a,a69c30a2-74f4-11ed-8c78-0242ac1c000c
53,776168813,Fortunata María Teresa,Blanch Puente,fortunata.blanch@hotmail.com,F,940310492,13/8/2004,18,Inactivo,Perdida gratuidad temporal,Divorciado,a69c314c-74f4-11ed-8c78-0242ac1c000c
54,709007966,Mirta Hilda,Sosa Acuña,mirta.sosa@hotmail.com,F,995257501,18/9/1989,33,Inactivo,Perdida gratuidad temporal,Union Libre,a69c3200-74f4-11ed-8c78-0242ac1c000c
55,138202170,Maricruz Gema,Morante Salamanca,maricruz.morante@hotmail.com,F,927335250,11/10/2006,16,Activo,Gratuidad,Union Libre,a69c32be-74f4-11ed-8c78-0242ac1c000c
56,2090642701,Wálter Apolinar,Talavera Tamayo,wálter.talavera@hotmail.com,M,955585195,24/12/1987,34,Activo,Gratuidad,Casado/a,a69c3372-74f4-11ed-8c78-0242ac1c000c
57,1973237016,Jacobo Florentino,Mendizábal Ricart,jacobo.mendizábal@hotmail.com,M,983094224,19/8/1999,23,Activo,Gratuidad,Casado/a,a69c341c-74f4-11ed-8c78-0242ac1c000c
58,2145902972,Remedios Adelina,Tomás Herranz,remedios.tomás@hotmail.com,F,979919772,18/8/1980,42,Activo,Sin gratuidad,Soltero/a,a69c34d0-74f4-11ed-8c78-0242ac1c000c
59,1154731715,Borja Pelayo,Buendía Benavente,borja.buendía@hotmail.com,M,901935135,16/2/1982,40,Activo,Sin gratuidad,Union Libre,a69c3598-74f4-11ed-8c78-0242ac1c000c
60,195760985,Judith Cruz,Colomer Uribe,judith.colomer@hotmail.com,F,958813328,11/1/2002,20,Activo,Sin gratuidad,Viudo/a,a69c3656-74f4-11ed-8c78-0242ac1c000c
61,401962456,Silvia Edelmira,Tur Pi,silvia.tur@hotmail.com,F,975163853,8/11/2000,22,Inactivo,Sin gratuidad,Union Libre,a69c3714-74f4-11ed-8c78-0242ac1c000c
62,1999168261,Ramona Sara,Velasco Mínguez,ramona.velasco@hotmail.com,F,942787094,9/12/1989,32,Inactivo,Sin gratuidad,Soltero/a,a69c37c8-74f4-11ed-8c78-0242ac1c000c
63,1671064109,Marisa Florentina,Benito Valera,marisa.benito@hotmail.com,F,999143873,5/3/1987,35,Activo,Sin gratuidad,Union Libre,a69c387c-74f4-11ed-8c78-0242ac1c000c
64,1172828247,Joan Cirino,Manrique Pomares,joan.manrique@hotmail.com,M,971520176,13/3/1993,29,Inactivo,Gratuidad,Soltero/a,a69c3944-74f4-11ed-8c78-0242ac1c000c
65,571280811,Juanita Coral,Escolano Posada,juanita.escolano@hotmail.com,F,959864135,25/5/1993,29,Inactivo,Gratuidad,Union Libre,a69c3a0c-74f4-11ed-8c78-0242ac1c000c
66,1914275511,Jennifer Encarnación,Vera Cano,jennifer.vera@hotmail.com,F,995746524,30/11/1999,23,Activo,Perdida gratuidad temporal,Casado/a,a69c3ac0-74f4-11ed-8c78-0242ac1c000c
67,618134343,María Teresa Amarilis,Roura Barrio,maría teresa.roura@hotmail.com,F,995120327,14/6/1982,40,Activo,Sin gratuidad,Viudo/a,a69c3b7e-74f4-11ed-8c78-0242ac1c000c
68,2225461774,Casemiro Hernando,Ibáñez Valera,casemiro.ibáñez@hotmail.com,M,954570208,24/10/1990,32,Inactivo,Perdida gratuidad temporal,Viudo/a,a69c3c32-74f4-11ed-8c78-0242ac1c000c
69,1148486979,Teodoro Fernando,Sarmiento Muro,teodoro.sarmiento@hotmail.com,M,954885873,5/8/1995,27,Inactivo,Sin gratuidad,Divorciado,a69c3cf0-74f4-11ed-8c78-0242ac1c000c
70,274245036,Ariel Samuel,Sainz Pombo,ariel.sainz@hotmail.com,M,928349187,18/1/1999,23,Inactivo,Gratuidad,Viudo/a,a69c91d2-74f4-11ed-8c78-0242ac1c000c
71,1987544879,Osvaldo Yago,Morales España,osvaldo.morales@hotmail.com,M,999743616,2/1/2003,19,Inactivo,Sin gratuidad,Casado/a,a69cbdb0-74f4-11ed-8c78-0242ac1c000c
72,2187945133,Ignacia Jordana,Pacheco Fabra,ignacia.pacheco@hotmail.com,F,905735102,8/2/1986,36,Inactivo,Perdida gratuidad temporal,Viudo/a,a69cbf22-74f4-11ed-8c78-0242ac1c000c
73,1413197690,Pascuala Noa,Rebollo Acedo,pascuala.rebollo@hotmail.com,F,963779626,24/2/1994,28,Activo,Sin gratuidad,Casado/a,a69cc03a-74f4-11ed-8c78-0242ac1c000c
74,1529950585,Leopoldo Javier,Piquer Roma,leopoldo.piquer@hotmail.com,M,968460114,11/10/2006,16,Inactivo,Perdida gratuidad temporal,Soltero/a,a69cc120-74f4-11ed-8c78-0242ac1c000c
75,1434092684,Fabricio Valero,Rocamora Verdejo,fabricio.rocamora@hotmail.com,M,958818458,30/7/1993,29,Activo,Sin gratuidad,Union Libre,a69cc1e8-74f4-11ed-8c78-0242ac1c000c
76,1988780707,Felix Bernardino,Jove Pombo,felix.jove@hotmail.com,M,971236666,14/8/1988,34,Activo,Perdida gratuidad temporal,Union Libre,a69cc2a6-74f4-11ed-8c78-0242ac1c000c
77,1379687967,Adelia Zaira,Blazquez Olivera,adelia.blazquez@hotmail.com,F,912060587,26/10/2006,16,Inactivo,Gratuidad,Viudo/a,a69cc378-74f4-11ed-8c78-0242ac1c000c
78,2074791349,Antonia Rita,Villaverde Morante,antonia.villaverde@hotmail.com,F,958387746,29/11/1983,39,Inactivo,Gratuidad,Union Libre,a69cc44a-74f4-11ed-8c78-0242ac1c000c
79,814226950,Sebastián Erasmo,Valle Solano,sebastián.valle@hotmail.com,M,905649422,1/1/2005,17,Activo,Gratuidad,Union Libre,a69cc508-74f4-11ed-8c78-0242ac1c000c
80,239362254,Ángel Marcelino,Mosquera Valencia,ángel.mosquera@hotmail.com,M,938306072,13/3/2005,17,Inactivo,Perdida gratuidad temporal,Viudo/a,a69cc5d0-74f4-11ed-8c78-0242ac1c000c
81,1977330706,Candelario Roldán,Aragón Olivé,candelario.aragón@hotmail.com,M,920726997,4/4/2002,20,Activo,Sin gratuidad,Union Libre,a69cc698-74f4-11ed-8c78-0242ac1c000c
82,467658007,Jimena Bibiana,Rodriguez Figuerola,jimena.rodriguez@hotmail.com,F,956419113,13/2/2001,21,Activo,Perdida gratuidad temporal,Divorciado,a69cc76a-74f4-11ed-8c78-0242ac1c000c
83,1737982492,Miguel Ángel Alberto,Alegria Redondo,miguel ángel.alegria@hotmail.com,M,914483851,13/3/1987,35,Activo,Perdida gratuidad temporal,Divorciado,a69cc828-74f4-11ed-8c78-0242ac1c000c
84,1952077824,Marciano Gerardo,Bermejo Peiró,marciano.bermejo@hotmail.com,M,936200971,19/2/2004,18,Activo,Gratuidad,Viudo/a,a69cc8f0-74f4-11ed-8c78-0242ac1c000c
85,817343448,Blas Alejandro,Antúnez Bermúdez,blas.antúnez@hotmail.com,M,966665174,24/10/1989,33,Inactivo,Sin gratuidad,Divorciado,a69cc9b8-74f4-11ed-8c78-0242ac1c000c
86,1646713456,Moreno Gonzalo,Agustí Vilaplana,moreno.agustí@hotmail.com,M,926463914,8/9/1998,24,Inactivo,Gratuidad,Union Libre,a69ccac6-74f4-11ed-8c78-0242ac1c000c
87,516945291,Primitivo Marino,Ledesma Belda,primitivo.ledesma@hotmail.com,M,940992074,20/2/1986,36,Activo,Sin gratuidad,Soltero/a,a69ccb8e-74f4-11ed-8c78-0242ac1c000c
88,1143104050,Olalla Águeda,Ayuso Galvez,olalla.ayuso@hotmail.com,F,920270526,10/3/1987,35,Inactivo,Perdida gratuidad temporal,Soltero/a,a69ccc6a-74f4-11ed-8c78-0242ac1c000c
89,2305527697,Ale Albina,Fuente Cal,ale.fuente@hotmail.com,F,953092659,9/9/2004,18,Activo,Perdida gratuidad temporal,Viudo/a,a69ccd46-74f4-11ed-8c78-0242ac1c000c
90,360791261,Artemio Ceferino,Gallo Segura,artemio.gallo@hotmail.com,M,915065692,30/10/1993,29,Activo,Perdida gratuidad temporal,Divorciado,a69cce04-74f4-11ed-8c78-0242ac1c000c
91,1764693577,María Jesús Martirio,Llorens Manzanares,maría jesús.llorens@hotmail.com,F,931237280,13/5/1981,41,Activo,Gratuidad,Divorciado,a69ccecc-74f4-11ed-8c78-0242ac1c000c
92,659742679,Natalio Adrián,Blasco Sanchez,natalio.blasco@hotmail.com,M,948578630,4/11/1996,26,Inactivo,Sin gratuidad,Divorciado,a69ccf8a-74f4-11ed-8c78-0242ac1c000c
93,2043775655,Manuel Pablo,Cuadrado Torres,manuel.cuadrado@hotmail.com,M,926986116,30/7/2005,17,Activo,Perdida gratuidad temporal,Divorciado,a69cd052-74f4-11ed-8c78-0242ac1c000c
94,2138247279,Patricio Gabino,Serna Benitez,patricio.serna@hotmail.com,M,905698215,4/7/1997,25,Inactivo,Sin gratuidad,Viudo/a,a69cd11a-74f4-11ed-8c78-0242ac1c000c
95,386523129,Javiera Mireia,Jáuregui Mariño,javiera.jáuregui@hotmail.com,F,968851494,10/3/1988,34,Inactivo,Gratuidad,Union Libre,a69cd1e2-74f4-11ed-8c78-0242ac1c000c
96,2055428286,Guadalupe Teobaldo,Pagès Riquelme,guadalupe.pagès@hotmail.com,M,932795240,13/4/2004,18,Inactivo,Perdida gratuidad temporal,Casado/a,a69cd2a0-74f4-11ed-8c78-0242ac1c000c
97,1586525617,Delfina Bibiana,Cortes Álvaro,delfina.cortes@hotmail.com,F,933714813,19/5/1991,31,Activo,Perdida gratuidad temporal,Casado/a,a69cd368-74f4-11ed-8c78-0242ac1c000c
98,481517945,María Eladio,Castilla Asensio,maría.castilla@hotmail.com,M,971784545,8/4/1983,39,Activo,Gratuidad,Soltero/a,a69cd426-74f4-11ed-8c78-0242ac1c000c
99,2308741970,Chucho Eduardo,Andres Español,chucho.andres@hotmail.com,M,960125147,12/10/1984,38,Inactivo,Perdida gratuidad temporal,Soltero/a,a69cd4e4-74f4-11ed-8c78-0242ac1c000c
100,734541878,Albert Geraldo,Corral Cantón,albert.corral@hotmail.com,M,929218045,23/3/1994,28,Activo,Sin gratuidad,Divorciado,a69cd5ac-74f4-11ed-8c78-0242ac1c000c
101,591952837,Pastor Andrés Felipe,Serrano Roman,pastor.serrano@hotmail.com,M,998616800,16/4/1994,28,Inactivo,Sin gratuidad,Casado/a,a69cd66a-74f4-11ed-8c78-0242ac1c000c
102,341536108,Aurora Pacífica,Viñas Cornejo,aurora.viñas@hotmail.com,F,933896254,26/4/1995,27,Inactivo,Gratuidad,Casado/a,a69cd732-74f4-11ed-8c78-0242ac1c000c
103,2433122504,Teodoro Balduino,Villar Lamas,teodoro.villar@hotmail.com,M,900932852,25/4/1986,36,Inactivo,Sin gratuidad,Union Libre,a69cd7fa-74f4-11ed-8c78-0242ac1c000c
104,1843851224,Rico Anastasio,Sierra Paniagua,rico.sierra@hotmail.com,M,999297786,24/12/1997,24,Inactivo,Sin gratuidad,Viudo/a,a69cd8b8-74f4-11ed-8c78-0242ac1c000c
105,1968812333,Sofía Rosaura,Herrero Alfaro,sofía.herrero@hotmail.com,F,979852937,17/5/1996,26,Activo,Perdida gratuidad temporal,Viudo/a,a69cd980-74f4-11ed-8c78-0242ac1c000c
106,1544483073,Alejandra Delfina,Marco Larrañaga,alejandra.marco@hotmail.com,F,977702681,17/3/1995,27,Activo,Sin gratuidad,Casado/a,a69d6cc4-74f4-11ed-8c78-0242ac1c000c
107,2028347581,Andrea Remedios,Pina Benet,andrea.pina@hotmail.com,F,901272715,10/7/2001,21,Activo,Sin gratuidad,Soltero/a,a69d6fbc-74f4-11ed-8c78-0242ac1c000c
108,2455707042,Roberto Noé,Mateos Mármol,roberto.mateos@hotmail.com,M,980326854,15/5/1996,26,Inactivo,Sin gratuidad,Casado/a,a69d707a-74f4-11ed-8c78-0242ac1c000c
109,304835999,Evelia Lilia,Benitez Arenas,evelia.benitez@hotmail.com,F,902649999,6/12/1984,37,Inactivo,Perdida gratuidad temporal,Union Libre,a69d711a-74f4-11ed-8c78-0242ac1c000c
110,787947709,Araceli Chita,Godoy Roig,araceli.godoy@hotmail.com,F,963333650,14/12/1990,31,Activo,Perdida gratuidad temporal,Divorciado,a69d71ba-74f4-11ed-8c78-0242ac1c000c
111,1399089863,María José Estrella,Ruano Blazquez,maría josé.ruano@hotmail.com,F,947049449,9/7/1991,31,Activo,Gratuidad,Viudo/a,a69d7246-74f4-11ed-8c78-0242ac1c000c
112,354941503,Cirino Maximiano,Cuervo Yáñez,cirino.cuervo@hotmail.com,M,999783214,1/12/1983,39,Inactivo,Perdida gratuidad temporal,Viudo/a,a69d72dc-74f4-11ed-8c78-0242ac1c000c
113,759495790,Alberto Pastor,Prada Giner,alberto.prada@hotmail.com,M,903542378,15/9/1993,29,Inactivo,Gratuidad,Soltero/a,a69d737c-74f4-11ed-8c78-0242ac1c000c
114,1523078129,Baldomero Victor,Riera León,baldomero.riera@hotmail.com,M,961256138,18/6/1999,23,Activo,Sin gratuidad,Viudo/a,a69d7444-74f4-11ed-8c78-0242ac1c000c
115,1321394198,Olalla Miguela,Haro Escamilla,olalla.haro@hotmail.com,F,920058630,12/7/2006,16,Inactivo,Perdida gratuidad temporal,Soltero/a,a69d74da-74f4-11ed-8c78-0242ac1c000c
116,2400508263,Nélida Custodia,Abellán Cánovas,nélida.abellán@hotmail.com,F,969477405,5/4/1997,25,Activo,Gratuidad,Soltero/a,a69d7570-74f4-11ed-8c78-0242ac1c000c
117,306901159,Simón Yago,Trillo Giralt,simón.trillo@hotmail.com,M,915018869,12/6/2004,18,Inactivo,Gratuidad,Soltero/a,a69d7606-74f4-11ed-8c78-0242ac1c000c
118,2160747149,José Ángel Marcio,Alfonso Nevado,josé ángel.alfonso@hotmail.com,M,978065852,25/11/2001,21,Activo,Sin gratuidad,Divorciado,a69d7a0c-74f4-11ed-8c78-0242ac1c000c
119,1133468488,Mohamed Tadeo,Guardia Jerez,mohamed.guardia@hotmail.com,M,904963901,22/5/1995,27,Activo,Perdida gratuidad temporal,Soltero/a,a69d7aac-74f4-11ed-8c78-0242ac1c000c
120,299962237,Humberto Baltasar,Vicens Ródenas,humberto.vicens@hotmail.com,M,950874277,24/1/1999,23,Inactivo,Sin gratuidad,Casado/a,a69d7b42-74f4-11ed-8c78-0242ac1c000c
121,200231716,Elvira María Luisa,Lobo Carnero,elvira.lobo@hotmail.com,F,989622548,19/12/1980,41,Inactivo,Gratuidad,Casado/a,a69d7bce-74f4-11ed-8c78-0242ac1c000c
122,1859082280,Casandra Paula,Laguna Matas,casandra.laguna@hotmail.com,F,944813477,14/8/1995,27,Activo,Gratuidad,Viudo/a,a69d7c64-74f4-11ed-8c78-0242ac1c000c
123,1809590719,Nicanor Adán,Morata Frutos,nicanor.morata@hotmail.com,M,948680729,19/3/1985,37,Inactivo,Perdida gratuidad temporal,Viudo/a,a69d7d18-74f4-11ed-8c78-0242ac1c000c
124,1959939186,Angelino Galo,Ureña Zabala,angelino.ureña@hotmail.com,M,982929385,23/8/1994,28,Inactivo,Perdida gratuidad temporal,Soltero/a,a69d7dae-74f4-11ed-8c78-0242ac1c000c
125,882318316,Joel Bernabé,Chacón Peñalver,joel.chacón@hotmail.com,M,946584722,15/10/2003,19,Activo,Perdida gratuidad temporal,Union Libre,a69d7e44-74f4-11ed-8c78-0242ac1c000c
126,1238897598,León Che,Marqués Arroyo,león.marqués@hotmail.com,M,920553359,20/7/1995,27,Activo,Gratuidad,Casado/a,a69d7f48-74f4-11ed-8c78-0242ac1c000c
127,1004106652,Laura Rita,Pellicer Velázquez,laura.pellicer@hotmail.com,F,954503131,18/3/1986,36,Inactivo,Sin gratuidad,Divorciado,a69d8006-74f4-11ed-8c78-0242ac1c000c
128,2244933012,Andrés Maximiano,Alsina Herrera,andrés.alsina@hotmail.com,M,929519037,7/4/1989,33,Inactivo,Gratuidad,Viudo/a,a69d80ba-74f4-11ed-8c78-0242ac1c000c
129,2298964906,Román Rubén,Huerta Múñiz,román.huerta@hotmail.com,M,907333229,15/11/2004,18,Inactivo,Perdida gratuidad temporal,Casado/a,a69d9244-74f4-11ed-8c78-0242ac1c000c
130,1697534490,Lucía Isidora,Verdugo Cabeza,lucía.verdugo@hotmail.com,F,934902931,20/3/2003,19,Activo,Sin gratuidad,Divorciado,a69d93fc-74f4-11ed-8c78-0242ac1c000c
131,1586633976,Bienvenida Rosalinda,Frías Abellán,bienvenida.frías@hotmail.com,F,955772225,4/3/1992,30,Activo,Perdida gratuidad temporal,Casado/a,a69d9492-74f4-11ed-8c78-0242ac1c000c
